========== TABLE VIEW (ASC SYMBOL LIST) ==========

Total Lines in File     : 2176
Parsed Table Entries    : 1844
Other Tags Entries      : 309
Unparsed Lines          : 23

========== ADDRESS COUNTS ==========
Addresses starting with IW   : 1480
Addresses starting with I    : 257
Addresses starting with QW   : 26
Addresses starting with Q    : 81

========== TYPE COUNTS ==========
Total BOOL Tags : 338
Total WORD Tags : 306

====================================

---- PARSED SYMBOL TABLE DATA ----

Line   Block    SymbolName                          Address      Type2  Comment
311    126      G01NHY01KF003-BA41;XB01             I218.1       BOOL   210VAC UPS Monitoring - Array SIS Cabinet - no fault detected
312    126      G01NHY01KF003-FC02;XB01             I218.2       BOOL   24VDC Distribution For ET200 SP HA - Array SIS Cabinet - no trip active
313    126      G01NHY01KF003-FC21;XB01             I218.3       BOOL   210VAC Distribution For Monitoring - Array SIS Cabinet - no trip active
314    126      G01NHY01KF003-FC22;XB01             I218.4       BOOL   210VAC Distribution For Fan - Array SIS Cabinet - no trip active
315    126      G01NHY01KF003-FC23;XB01             I218.5       BOOL   210VAC Distribution For UPS Generation - Array SIS Cabinet - no trip active
316    126      G01NHY01KF003-FC41;XB01             I218.6       BOOL   210VAC UPS Distribution For Monitoring - Array SIS Cabinet - no trip active
317    126      G01NHY01KF003-FC42;XB01             I218.7       BOOL   210VAC UPS Distribution For UPS Generation - Array SIS Cabinet - no trip active
318    126      G01NHY01KF003-TB01;XB01             I219.0       BOOL   24VDC UPS Generation From 210VAC- Array SIS Cabinet - No trip active
319    126      G01NHY01KF003-TB02;XB01             I219.1       BOOL   24VDC UPS Generation From 210VAC UPS - Array SIS Cabinet - No trip active
320    126      Spare219-2                          I219.2       BOOL   Spare
321    126      Spare219-3                          I219.3       BOOL   Spare
322    126      Spare219-4                          I219.4       BOOL   Spare
323    126      Spare219-5                          I219.5       BOOL   Spare
324    126      G01NHY01KF003-BG01;XW01             I219.6       BOOL   Door Contact - Array Fence - Channel 1 active
325    126      G01NHY01KF003-BG01;XW02             I219.7       BOOL   Door Contact - Array Fence - Channel 2 active
326    126      G01NHA01QZ001-QB01;XB01             I400.0       BOOL   Disconnector - DC+ Rectifier 1 - Feedback open
327    126      G01NHA01QZ001-QB01;XB02             I400.1       BOOL   Disconnector - DC+ Rectifier 1 - Feedback closed
328    126      G01NHA01QZ001-QB02;XB01             I400.2       BOOL   Disconnector - DC- Rectifier 1 - Feedback open
329    126      G01NHA01QZ001-QB02;XB02             I400.3       BOOL   Disconnector - DC- Rectifier 1 - Feedback closed
330    126      G01NHA01QZ001-QB02;XV01             I400.4       BOOL   Disconnector - DC- Rectifier 1 - Handwheel not plugged
331    126      G01NHA01QZ002-QB01;XB01             I400.5       BOOL   Disconnector - DC+ Rectifier 2 - Feedback open
332    126      G01NHA01QZ002-QB01;XB02             I400.6       BOOL   Disconnector - DC+ Rectifier 2 - Feedback closed
333    126      G01NHA01QZ002-QB02;XB01             I400.7       BOOL   Disconnector - DC- Rectifier 2 - Feedback open
334    126      G01NHA01QZ002-QB02;XB02             I401.0       BOOL   Disconnector - DC- Rectifier 2 - Feedback closed
335    126      G01NHA01QZ003-QB01;XB01             I401.1       BOOL   Disconnector - DC+ Rectifier 3 - Feedback open
336    126      G01NHA01QZ003-QB01;XB02             I401.2       BOOL   Disconnector - DC+ Rectifier 3 - Feedback closed
337    126      G01NHA01QZ003-QB02;XB01             I401.3       BOOL   Disconnector - DC- Rectifier 3 - Feedback open
338    126      G01NHA01QZ002-QB02;XV01             I401.4       BOOL   Disconnector - DC- Rectifier 2 - Handwheel not plugged
339    126      G01NHA01QZ003-QB02;XB02             I401.5       BOOL   Disconnector - DC- Rectifier 3 - Feedback closed
340    126      G01NHA01QZ004-QB01;XB01             I401.6       BOOL   Disconnector - DC+ Rectifier 4 - Feedback open
341    126      G01NHA01QZ004-QB01;XB02             I401.7       BOOL   Disconnector - DC+ Rectifier 4 - Feedback closed
342    126      G01NHA01TB001-SF01;XW01             I409.0       BOOL   Emergency Stop Rectifier -1
343    126      G01NHA01QZ003-QB01;XV01             I409.1       BOOL   Disconnector - DC+ Rectifier 3 - Handwheel not plugged
344    126      G01NHA01QZ003-QB02;XV01             I409.2       BOOL   Disconnector - DC- Rectifier 3 - Handwheel not plugged
345    126      G01NHA01QZ004-QB01;XV01             I409.3       BOOL   Disconnector - DC+ Rectifier 4 - Handwheel not plugged
346    126      G01NHA01QZ004-QB02;XV01             I409.4       BOOL   Disconnector - DC- Rectifier 4 - Handwheel not plugged
347    126      G01NHA01TA001-BU02;XM01             I409.5       BOOL   Protection relay - Tap Changer Tripping - Alarm
348    126      G01NHA01TA001-BU01;XM01             I409.6       BOOL   Transformaer General Fault
350    126      G01NHA01TB002-SF01;XW01             I410.0       BOOL   Emergency Stop Rectifier -2
351    126      G01NHA01TB003-SF01;XW01             I410.1       BOOL   Emergency Stop Rectifier -3
352    126      G01NHA01TB004-SF01;XW01             I410.2       BOOL   Emergency Stop Rectifier -4
353    126      G01NHA01QZ004-QB02;XB01             I410.3       BOOL   Disconnector - DC- Rectifier 4 - Feedback open
354    126      G01NHA01QZ001-QB01;XV01             I410.4       BOOL   Disconnector - DC+ Rectifier 1 - Handwheel not plugged
355    126      G01NHA01QZ002-QB01;XV01             I410.5       BOOL   Disconnector - DC+ Rectifier 2 - Handwheel not plugged
356    126      G01NHA01QZ004-QB02;XB02             I410.7       BOOL   Disconnector - DC- Rectifier 4 - Feedback closed
373    126      Spare1151.7                         I1151.7      BOOL   Spare
374    126      Spare1251.7                         I1251.7      BOOL   Spare
375    126      Spare1351.7                         I1351.7      BOOL   Spare
376    126      Spare1451.7                         I1451.7      BOOL   Spare
377    126      Spare1551.7                         I1551.7      BOOL   Spare
378    126      Spare1651.7                         I1651.7      BOOL   Spare
379    126      G01NHB01KF002-FC01;XW01             I1700.0      BOOL   24VDC UPS Distribution - I&C Cabinet SG1 - Feedback On
380    126      G01NHB02KF002-FC01;XW01             I1700.3      BOOL   24VDC UPS Distribution - I&C Cabinet SG2 - Feedback On
381    126      G01NHB03KF002-FC01;XW01             I1700.6      BOOL   24VDC UPS Distribution - I&C Cabinet SG3 - Feedback On
382    126      G01NHB04KF002-FC01;XW01             I1701.1      BOOL   24VDC UPS Distribution - I&C Cabinet SG4 - Feedback On
383    126      G01NHB05KF002-FC01;XW01             I1701.4      BOOL   24VDC UPS Distribution - I&C Cabinet SG5 - Feedback On
384    126      G01NHB06KF002-FC01;XW01             I1701.7      BOOL   24VDC UPS Distribution - I&C Cabinet SG6 - Feedback On
385    126      G01NHC01BQ001-BF01;XG51             I1704.2      BOOL   Flowmeter - Gas Sensor 1 H2 - Value < Max
386    126      G01NHC01BQ001-BF02;XG51             I1704.3      BOOL   Flowmeter - Gas Sensor 2 H2 - Value < Max
387    126      G01NHC01BQ001-BF10;XG02             I1704.4      BOOL   Flowmeter - Fast Loop Sample Gas Pump 1 H2 - Value > Min
388    126      G01NHC01BQ001-QN22;XG02             I1704.5      BOOL   Pressure Control Valve - Validation Gas H2 - Value > Min
389    126      G01NHC01BQ001-QN31;XG02             I1704.6      BOOL   Pressure Control Valve - N2 Supply 1 Gas Analytic H2 - Value > Min
390    126      G01NHC01BQ001-BQ01;XJ01             I1704.7      BOOL   O2-Measuring Sensor 1 - Gas Analytic H2 - Functional check
391    126      G01NHH01HP001-GP01;XB14             I1705.0      BOOL   Water Refimnet Pump Group Fault
392    126      G01NHC01BQ001-BQ02;XJ01             I1705.1      BOOL   O2-Measuring Sensor 2 - Gas Analytic H2 - Functional check
393    126      G01NHH01HP001-GP01;XB13             I1705.2      BOOL   Circulation Pump - Water Refinement - Feedback on
394    126      G01NHC01BQ001-EQ01;XB13             I1705.3      BOOL   Gas Cooler 1 - Gas Analytic H2 - Feedback On
395    126      G01NHC01BQ001-EQ01;XU01             I1705.4      BOOL   Gas Cooler 1 - Gas Analytic H2 - Fault
396    126      G01NHC01BQ001-FC01;XU01             I1705.5      BOOL   Power Supply - Gas Analytic H2 - Fault
397    126      G01NHC01BQ001-GP01;XB13             I1705.6      BOOL   Sample Gas Pump 1 - Gas Analytic H2 - Feedback On
398    126      G01NHC01BQ001-QN32;XG02             I1705.7      BOOL   Pressure Control Valve - N2 Supply 2 Gas Analytic H2 - Value > Min
399    126      G01NHP01WP001-QM02;XB01             I1708.0      BOOL   Shut-Off Valve - Cooling Water Supply - Feedback open
400    126      G01NHP01WP001-QM02;XB02             I1708.1      BOOL   Shut-Off Valve - Cooling Water Supply - Feedback closed
401    126      G01NHP01WP001-QM08;XB01             I1708.2      BOOL   Shut-Off Valve - Cooling Water Return- Feedback open
402    126      G01NHP01WP001-QM08;XB02             I1708.3      BOOL   Shut-Off Valve - Cooling Water Return- Feedback closed
403    126      G01NHP01WP001-QM45;XB01             I1708.4      BOOL   Shut-Off Valve - Cooling Water Drainage - Feedback open
404    126      G01NHP01WP001-QM45;XB02             I1708.5      BOOL   Shut-Off Valve - Cooling Water Drainage - Feedback closed
405    126      G01NHH01HP001-TC01;XB01             I1708.6      BOOL   Check back on/Open
406    126      G01NHC01GT001-QM01;XB01             I1709.0      BOOL   Shut-Off Valve - H2 gas system - Feedback open
407    126      G01NHC01GT001-QM01;XB02             I1709.1      BOOL   Shut-Off Valve - H2 gas system - Feedback closed
408    126      G01NHC01GT001-QN01;XU01             I1709.2      BOOL   Control Valve - H2 Product - Group fault alarm
409    126      G01NHC01GT001-QN02;XU01             I1709.3      BOOL   Control Valve - H2 Blow Off - Group fault alarm
410    126      G01NHE01BQ001-BF01;XG51             I1709.4      BOOL   Flowmeter - Gas Sensor 1 O2 - Value < Max
411    126      G01NHE01BQ001-BF02;XG51             I1709.5      BOOL   Flowmeter - Gas Sensor 2 O2 - Value < Max
412    126      G01NHE01BQ001-BF10;XG02             I1709.6      BOOL   Flowmeter - Fast Loop Sample Gas Pump 1 O2 - Value > Min
413    126      G01NHE01BQ001-QN22;XG02             I1709.7      BOOL   Pressure Control Valve - Validation Gas O2 - Value > Min
414    126      G01NHC01BQ001-BF12;XG02             I1712.0      BOOL   Flowmeter - Purge Gas Line 2 - Value > Max
415    126      G01NHE01BQ001-BQ01;XJ01             I1712.1      BOOL   H2-Measuring Sensor 1 - Gas Analytic O2 - Functional check
416    126      G01NHC01BQ001-BF11;XG02             I1712.2      BOOL   Flowmeter - Purge Gas Line 1 - Value > Min
417    126      G01NHE01BQ001-BQ02;XJ01             I1712.3      BOOL   H2-Measuring Sensor 2 - Gas Analytic O2 - Functional check
418    126      G01NHH01HP001-QB01;XB01             I1712.4      BOOL   Check Back on/Open2
419    126      G01NHE01BQ001-EQ01;XB13             I1712.5      BOOL   Gas Cooler 1 - Gas Analytic O2 - Feedback On
420    126      G01NHE01BQ001-EQ01;XU01             I1712.6      BOOL   Gas Cooler 1 - Gas Analytic O2 - Fault
421    126      G01NHE01BQ001-FC01;XU01             I1712.7      BOOL   Power Supply - Gas Analytic O2 - Fault
422    126      G01NHE01BQ001-GP01;XB13             I1713.0      BOOL   Sample Gas Pump 1 - Gas Analytic O2 - Feedback On
423    126      G01NHH01HP001-UV01;XM01             I1713.1      BOOL   UV Lamp - System OK Closed
424    126      G01NHH01HP001-UV01;XM02             I1713.2      BOOL   UV Lamp - Pre Alarm UV
425    126      G01NHH01HP001-UV01;XM03             I1713.3      BOOL   UV Lamp - Main Alarm UV
426    126      G01NHE01GT001-QN01;XU01             I1716.0      BOOL   Control Valve - O2 Blow Off - Group fault alarm
427    126      G01NHG01QM001-QM01;XB01             I1716.1      BOOL   Shut-Off Valve - Demin Water Supply - Feedback open
428    126      G01NHG01QM001-QM01;XB02             I1716.2      BOOL   Shut-Off Valve - Demin Water Supply - Feedback closed
429    126      Spare1716.3                         I1716.3      BOOL   Spare
430    126      G01NHP01WP002-QN01;XU01             I1716.4      BOOL   Control Valve - Gas Cooler H2 - Group fault alarm
431    126      G01NHP01WP002-QN02;XU01             I1716.5      BOOL   Control Valve - Gas Cooler O2 - Group fault alarm
432    126      G01NHX01QN001-QM03;XB01             I1716.6      BOOL   Shut-Off Valve - Nitrogen H2 Bypass - Feedback open
433    126      G01NHX01QN001-QM03;XB02             I1716.7      BOOL   Shut-Off Valve - Nitrogen H2 Bypass - Feedback closed
434    126      G01NHX01QN001-QM05;XB01             I1717.0      BOOL   Shut-Off Valve - Nitrogen H2 Outlet - Feedback open
435    126      G01NHX01QN001-QM05;XB02             I1717.1      BOOL   Shut-Off Valve - Nitrogen H2 Outlet - Feedback closed
436    126      G01NHX01QN002-QM04;XB01             I1717.3      BOOL   Shut-Off Valve - Nitrogen O2 Bypass - Feedback open
437    126      G01NHX01QN002-QM04;XB02             I1717.4      BOOL   Shut-Off Valve - Nitrogen O2 Bypass - Feedback closed
438    126      G01NHX01QN002-QM06;XB01             I1717.5      BOOL   Shut-Off Valve - Nitrogen O2 Outlet - Feedback open
439    126      G01NHX01QN002-QM06;XB02             I1717.6      BOOL   Shut-Off Valve - Nitrogen O2 Outlet - Feedback closed
440    126      G01NHY01KF001-BA11;XB01             I1720.0      BOOL   400VAC Monitoring - Array I&C Cabinet - no fault detected
441    126      G01NHY01KF001-BA21;XB01             I1720.1      BOOL   210VAC Monitoring - Array I&C Cabinet - no fault detected
442    126      G01NHY01KF001-BA41;XB01             I1720.2      BOOL   210VAC Monitoring - Array I&C Cabinet - no fault detected
443    126      G01NHY01KF001-FC01;XB01             I1720.3      BOOL   24VDC Distribution - ET200SP HA Power Supply - no trip active
445    126      G01NHY01KF001-FC03;XB01             I1720.5      BOOL   24VDC Distribution - 24VDC UPS Distribution - no trip activ
446    126      G01NHY01KF001-FC11;XB01             I1720.6      BOOL   400VAC Monitoring - I&C Cabinet Array - no trip activ
447    126      G01NHY01KF001-FC21;XB01             I1720.7      BOOL   210VAC Monitoring - I&C Cabinet Array - no trip active
448    126      G01NHY01KF001-FC22;XB01             I1721.0      BOOL   210VAC Distribution - I&C Cabinet Array Door Fan - no trip active
449    126      G01NHY01KF001-FC23;XB01             I1721.1      BOOL   210VAC Distribution - Spare - no trip active
450    126      G01NHY01KF001-FC24;XB01             I1721.2      BOOL   210VAC Distribution - Spare - Feedback On
451    126      G01NHY01KF001-FC25;XB01             I1721.3      BOOL   210VAC Distribution - Spare - Feedback On
